Packet Size,Mean Time,Std Dev,PDR
16,21.5,8.855175967429524,100%
32,23.15,2.0468009037016617,100%
64,27.97,1.6964311916133787,100%
128,54.01,5.474449375014437,100%
256,88.13131313131314,6.561555416407066,99%
512,176.94565217391303,13.071539531510487,92%
1024,326.5744680851064,17.550851188142047,47%
