Packet Size,Mean Time,Std Dev,PDR
16,45.38202247191011,6.831587094282119,89%
32,55.78260869565217,29.24232909228825,69%
64,61.17391304347826,6.289025319147868,92%
128,113.6,28.81751168286111,50%
256,185.75,20.453198608856596,16%
