Packet Size,Mean Time,Std Dev,PDR
16,10.24,1.400721314901791,100%
32,11.56,1.532938025459278,100%
64,14.3,1.9306145983268457,100%
128,26.32,3.351104144890008,100%
256,46.142857142857146,6.768635977040774,98%
512,85.23,5.235571804608559,100%
1024,163.8181818181818,9.22990219989714,99%
