Packet Size,Mean Time,Std Dev,PDR
16,32.484848484848484,4.945341317049312,99%
32,35.28,2.867723554291519,100%
64,42.94,3.733062760757924,100%
128,80.11363636363636,9.169454311571426,88%
256,130.864406779661,14.466915438836159,59%
512,249.1,18.32139962477011,20%
1024,467,0,1%
